"","names","values","sd"
"156","epsilon_mat",-0.14514824067569,0.314139193361139
"157","epsilon_mat",0,0
"158","epsilon_mat",0,0
"159","epsilon_mat",0.628688025610277,0.609103473837695
"160","epsilon_mat",0,0.313506702462114
"161","epsilon_mat",0,0
"162","epsilon_mat",0,0
"163","epsilon_mat",-0.846104108450429,0.380481966416356
"164","epsilon_mat",0.243664102696616,0.260159610471348
"165","epsilon_mat",0,0
"166","epsilon_mat",0,0
"167","epsilon_mat",0.609275198018519,0.4890858954052
"168","epsilon_mat",0.0880077711028591,0.299616505456368
"169","epsilon_mat",0,0
"170","epsilon_mat",0,0
"171","epsilon_mat",0.375357408478436,0.399810030633047
"172","epsilon_mat",-0.157576248748804,0.289235627752137
"173","epsilon_mat",0,0
"174","epsilon_mat",0,0
"175","epsilon_mat",0.127279263513988,0.555587454803593
"176","epsilon_mat",0.368859724685615,0.352837026769058
"177","epsilon_mat",0,0
"178","epsilon_mat",0,0
"179","epsilon_mat",-0.468023178453505,0.413986814593392
"180","epsilon_mat",-0.201881069670161,0.24546277202153
"181","epsilon_mat",0,0
"182","epsilon_mat",0,0
"183","epsilon_mat",0.281920920611831,0.652587035387232
"184","epsilon_mat",0,0.313506702462114
"185","epsilon_mat",0,0
"186","epsilon_mat",0,0
"187","epsilon_mat",-0.120682745490458,0.405667356910846
"188","epsilon_mat",-0.189632310169982,0.271438023555453
"189","epsilon_mat",0,0
"190","epsilon_mat",0,0
"191","epsilon_mat",0.21576769172733,0.399546106129829
"192","epsilon_mat",0.436547146589103,0.293372964525325
"193","epsilon_mat",0,0
"194","epsilon_mat",0,0
"195","epsilon_mat",-0.0631666867571763,0.413984037610328
"196","epsilon_mat",0.298928248724239,0.277053728953047
"197","epsilon_mat",0,0
"198","epsilon_mat",0,0
"199","epsilon_mat",0.727388013511813,0.593423108947017
"200","epsilon_mat",0,0.313506702462114
"201","epsilon_mat",0,0
"202","epsilon_mat",0,0
"203","epsilon_mat",1.23572331048765,0.586583617642488
"204","epsilon_mat",0,0.313506702462114
"205","epsilon_mat",0,0
"206","epsilon_mat",0,0
"207","epsilon_mat",0.743930283225479,0.598199823794887
"208","epsilon_mat",0,0.313506702462114
"209","epsilon_mat",0,0
"210","epsilon_mat",0,0
"211","epsilon_mat",0.343701628297464,0.548209311273582
"212","epsilon_mat",-0.0599247261079314,0.308226136185165
"213","epsilon_mat",0,0
"214","epsilon_mat",0,0
"215","epsilon_mat",-0.285702823112946,0.343605126130828
"216","epsilon_mat",-0.0039005348506504,0.197870745697914
"217","epsilon_mat",0,0
"218","epsilon_mat",0,0
"219","epsilon_mat",-0.210334243488248,0.345961399602903
"220","epsilon_mat",-0.142961703715978,0.208224873445061
"221","epsilon_mat",0,0
"222","epsilon_mat",0,0
"223","epsilon_mat",-0.484140805794067,0.357983592449951
"224","epsilon_mat",0.0485494135023894,0.227689463831245
"225","epsilon_mat",0,0
"226","epsilon_mat",0,0
"227","epsilon_mat",-1.17564656598672,0.352936461784701
"228","epsilon_mat",0.275592246565051,0.214502838241155
"229","epsilon_mat",0,0
"230","epsilon_mat",0,0
