location,village,year,class,sex,individual_count,ShW,Sh,village_pop,ShW_2016,Sh_2016,site_area_m2,percent_mud,percent_nonemergent,percent_emergent,area_nonemergent_veg,area_mud,stem_count,veg_mass_mean,veg_mass_total,prevalence_Bulinus,Bulinus_density,infected_Bulinus_density,Bulinus_abundance,infected_Bulinus_abundance
river,Ndiawdoune,2018,1,M,25,3.08,0.4,1542,53.28,0.6,1120.792412,61.33333333,19.66666667,16.33333333,66393.95843,207573.5626,1.468514937,169.629349,196240.5422,0,12.04668318,0,13865.88886,0
river,Ndiawdoune,2018,2,F,18,1.583333333,0.277777778,1542,105.1666667,0.833333333,1120.792412,61.33333333,19.66666667,16.33333333,66393.95843,207573.5626,1.468514937,169.629349,196240.5422,0,12.04668318,0,13865.88886,0
river,Ndiawdoune,2018,2,M,14,4.25,0.571428571,1542,11.14285714,0.428571429,1120.792412,61.33333333,19.66666667,16.33333333,66393.95843,207573.5626,1.468514937,169.629349,196240.5422,0,12.04668318,0,13865.88886,0
river,NdiolMaure,2017,1,F,20,1.368421053,0.105263158,771,1.575,0.25,2493.620741,50.66666667,14,35.33333333,104732.0711,379030.3526,4.990889422,872.1676322,2174855.297,0,32.16913038,0,80217.61075,0
river,NdiolMaure,2017,1,M,12,0,0,771,2.5,0.583333333,2493.620741,50.66666667,14,35.33333333,104732.0711,379030.3526,4.990889422,872.1676322,2174855.297,0,32.16913038,0,80217.61075,0
river,NdiolMaure,2017,2,F,12,24.45833333,0.333333333,771,1,0.25,2493.620741,50.66666667,14,35.33333333,104732.0711,379030.3526,4.990889422,872.1676322,2174855.297,0,32.16913038,0,80217.61075,0
river,NdiolMaure,2017,2,M,12,6.375,0.333333333,771,1.125,0.416666667,2493.620741,50.66666667,14,35.33333333,104732.0711,379030.3526,4.990889422,872.1676322,2174855.297,0,32.16913038,0,80217.61075,0
river,NdiolMaure,2017,3,F,10,28.22222222,0.444444444,771,5.6,0.5,2493.620741,50.66666667,14,35.33333333,104732.0711,379030.3526,4.990889422,872.1676322,2174855.297,0,32.16913038,0,80217.61075,0
river,NdiolMaure,2017,3,M,21,6.4,0.45,771,8.285714286,0.571428571,2493.620741,50.66666667,14,35.33333333,104732.0711,379030.3526,4.990889422,872.1676322,2174855.297,0,32.16913038,0,80217.61075,0
river,NdiolMaure,2018,1,F,17,0.088235294,0.117647059,771,1.735294118,0.176470588,2596.845992,13,17.33333333,69,134119.529,100770.899,14.51162171,173.1643579,444870.2786,0.429292929,11.29217556,0.491382057,29085.17436,1303.940839
river,NdiolMaure,2018,1,M,11,30.63636364,0.363636364,771,2.681818182,0.545454545,2596.845992,13,17.33333333,69,134119.529,100770.899,14.51162171,173.1643579,444870.2786,0.429292929,11.29217556,0.491382057,29085.17436,1303.940839
river,NdiolMaure,2018,2,F,10,29.2,0.6,771,1.15,0.2,2596.845992,13,17.33333333,69,134119.529,100770.899,14.51162171,173.1643579,444870.2786,0.429292929,11.29217556,0.491382057,29085.17436,1303.940839
river,NdiolMaure,2018,2,M,11,0.363636364,0.272727273,771,1.227272727,0.454545455,2596.845992,13,17.33333333,69,134119.529,100770.899,14.51162171,173.1643579,444870.2786,0.429292929,11.29217556,0.491382057,29085.17436,1303.940839
river,NdiolMaure,2018,3,F,8,0.875,0.25,771,1.375,0.5,2596.845992,13,17.33333333,69,134119.529,100770.899,14.51162171,173.1643579,444870.2786,0.429292929,11.29217556,0.491382057,29085.17436,1303.940839
river,NdiolMaure,2018,3,M,17,8.235294118,0.352941176,771,10.17647059,0.588235294,2596.845992,13,17.33333333,69,134119.529,100770.899,14.51162171,173.1643579,444870.2786,0.429292929,11.29217556,0.491382057,29085.17436,1303.940839
lake,Diokhor,2017,1,F,17,37.47058824,0.882352941,1500,48.17647059,0.941176471,3295.446479,51.81890915,25.00969288,23.01915549,247254.313,512299.3251,2.01794222,1292.594974,4259677.556,0.002116646,15.78809916,0.019080627,52028.83577,62.87918401
lake,Diokhor,2017,1,M,21,75.89473684,0.894736842,1500,109.1428571,0.80952381,3295.446479,51.81890915,25.00969288,23.01915549,247254.313,512299.3251,2.01794222,1292.594974,4259677.556,0.002116646,15.78809916,0.019080627,52028.83577,62.87918401
lake,Diokhor,2017,2,F,11,20.72727273,0.909090909,1500,33.04545455,0.818181818,3295.446479,51.81890915,25.00969288,23.01915549,247254.313,512299.3251,2.01794222,1292.594974,4259677.556,0.002116646,15.78809916,0.019080627,52028.83577,62.87918401
lake,Diokhor,2017,2,M,8,29.33333333,0.666666667,1500,163.25,1,3295.446479,51.81890915,25.00969288,23.01915549,247254.313,512299.3251,2.01794222,1292.594974,4259677.556,0.002116646,15.78809916,0.019080627,52028.83577,62.87918401
