"","names","values","sd"
"156","epsilon_mat",-0.11300994843412,0.274352153657582
"157","epsilon_mat",0,0
"158","epsilon_mat",0,0
"159","epsilon_mat",0.633296685957082,0.612208895290883
"160","epsilon_mat",0,0.272389031707449
"161","epsilon_mat",0,0
"162","epsilon_mat",0,0
"163","epsilon_mat",-0.850637255095966,0.380976955289552
"164","epsilon_mat",0.212939784313571,0.240756704154037
"165","epsilon_mat",0,0
"166","epsilon_mat",0,0
"167","epsilon_mat",0.609925678969783,0.490753803091875
"168","epsilon_mat",0.0758191709527374,0.264303229106266
"169","epsilon_mat",0,0
"170","epsilon_mat",0,0
"171","epsilon_mat",0.374365529373279,0.401063747456914
"172","epsilon_mat",-0.131787977085587,0.258493941945077
"173","epsilon_mat",0,0
"174","epsilon_mat",0,0
"175","epsilon_mat",0.20217468152463,0.577726190494366
"176","epsilon_mat",0.0742174040937565,0.256961780163108
"177","epsilon_mat",0,0
"178","epsilon_mat",0,0
"179","epsilon_mat",-0.47393837009055,0.414960637876986
"180","epsilon_mat",-0.178739484024371,0.226313057456612
"181","epsilon_mat",0,0
"182","epsilon_mat",0,0
"183","epsilon_mat",0.284984112007298,0.656252087625797
"184","epsilon_mat",0,0.272389031707449
"185","epsilon_mat",0,0
"186","epsilon_mat",0,0
"187","epsilon_mat",-0.130082731876253,0.40761526646861
"188","epsilon_mat",-0.145245894155041,0.241789196574586
"189","epsilon_mat",0,0
"190","epsilon_mat",0,0
"191","epsilon_mat",0.207229257914524,0.401200904993961
"192","epsilon_mat",0.411726505675683,0.292829755799546
"193","epsilon_mat",0,0
"194","epsilon_mat",0,0
"195","epsilon_mat",-0.0718171636802997,0.41587479262233
"196","epsilon_mat",0.283536494105381,0.266516763630615
"197","epsilon_mat",0,0
"198","epsilon_mat",0,0
"199","epsilon_mat",0.732957643933768,0.596371125812684
"200","epsilon_mat",0,0.272389031707449
"201","epsilon_mat",0,0
"202","epsilon_mat",0,0
"203","epsilon_mat",1.24256487309767,0.58882287554113
"204","epsilon_mat",0,0.272389031707449
"205","epsilon_mat",0,0
"206","epsilon_mat",0,0
"207","epsilon_mat",0.749165988156957,0.601095545748891
"208","epsilon_mat",0,0.272389031707449
"209","epsilon_mat",0,0
"210","epsilon_mat",0,0
"211","epsilon_mat",0.34657724672672,0.550529206175861
"212","epsilon_mat",-0.0488486336528963,0.269272463639556
"213","epsilon_mat",0,0
"214","epsilon_mat",0,0
"215","epsilon_mat",-0.298585991970209,0.345780826188619
"216","epsilon_mat",0.044690587185251,0.180974496146792
"217","epsilon_mat",0,0
"218","epsilon_mat",0,0
"219","epsilon_mat",-0.222139112666792,0.347983623901088
"220","epsilon_mat",-0.0872067439257291,0.188227128943108
"221","epsilon_mat",0,0
"222","epsilon_mat",0,0
"223","epsilon_mat",-0.487638953620217,0.358783990258717
"224","epsilon_mat",0.0373270763914579,0.207848895372501
"225","epsilon_mat",0,0
"226","epsilon_mat",0,0
"227","epsilon_mat",-1.17915029141104,0.35338247801758
"228","epsilon_mat",0.248446970778525,0.203640693085359
"229","epsilon_mat",0,0
"230","epsilon_mat",0,0
